,L,Beta,Sheet ID,Sheet Name,N, Eigen Value1, Eigen Value2, Eigen Value3, Eigen Value4, Eigen Value5, Eigen Value6, Eigen Value7, Eigen Value8
40,6,0.4,7,random p=0.4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
41,6,0.4,8,random p=0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
42,6,0.4,9,random p=0.6000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
43,6,0.4,10,random p=0.7000000000000001,200,0.0,0.0,0.0,320000.0,80000.0,120000.0,120000.0,23040000.0
44,6,0.5,0,horizontal,1200,1900177.2393018007,1121908.3690817787,1377914.3916164206,0.0,0.0,120000.0,80000.0,58040000.0
45,6,0.5,1,vertical,1200,2227533.7701068195,1496387.0932601069,1156079.1366330779,0.0,80000.0,160000.0,80000.0,341280000.0
46,6,0.5,2,h and v,7200,15644129.197821172,6642364.7866197,7433506.015559122,40000.0,560000.0,320000.0,400000.0,343520000.0
47,6,0.5,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
48,6,0.5,4,random p=0.1,200,170717.96769724498,239999.99999999997,309282.03230275505,0.0,0.0,80000.0,40000.0,35400000.0
49,6,0.5,5,random p=0.2,200,0.0,0.0,40000.0,40000.0,40000.0,80000.0,40000.0,66160000.0
50,6,0.5,6,random p=0.30000000000000004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
51,6,0.5,7,random p=0.4,200,15278.640450004204,104721.35954999579,0.0,0.0,40000.0,40000.0,40000.0,101680000.0
52,6,0.5,8,random p=0.5,200,0.0,40000.0,40000.0,80000.0,0.0,0.0,80000.0,72400000.0
53,6,0.5,9,random p=0.6000000000000001,200,209442.7190999916,30557.280900008416,0.0,40000.0,40000.0,0.0,80000.0,97600000.0
54,6,0.5,10,random p=0.7000000000000001,200,0.0,0.0,40000.0,40000.0,40000.0,40000.0,80000.0,80960000.0
55,6,0.6,0,horizontal,1200,1932519.1153873538,1112815.1214031924,1514665.7632094533,0.0,80000.0,120000.0,40000.0,53280000.0
56,6,0.6,1,vertical,1200,3384277.3959417846,749178.8657934674,1546543.7382647472,0.0,40000.0,40000.0,40000.0,312200000.0
57,6,0.6,2,h and v,7200,14408709.619204395,7113999.643706762,5597536.079053805,639754.658035031,0.0,560000.0,600000.0,354360000.0
58,6,0.6,3,random p=0.0,200,0.0,40000.0,0.0,40000.0,40000.0,80000.0,40000.0,99120000.0
59,6,0.6,4,random p=0.1,200,90717.96769724498,229282.03230275508,160000.00000000006,0.0,0.0,0.0,0.0,26560000.0
60,6,0.6,5,random p=0.2,200,0.0,0.0,40000.0,80000.0,40000.0,40000.0,200000.0,106320000.0
61,6,0.6,6,random p=0.30000000000000004,200,80000.0,0.0,0.0,0.0,40000.0,40000.0,80000.0,74480000.0
62,6,0.6,7,random p=0.4,200,147888.9744907202,292111.0255092798,0.0,40000.0,40000.0,0.0,200000.0,22960000.0
63,6,0.6,8,random p=0.5,200,0.0,40000.0,40000.0,120000.0,80000.0,120000.0,240000.0,13760000.0
64,6,0.6,9,random p=0.6000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
65,6,0.6,10,random p=0.7000000000000001,200,23431.457505076192,136568.5424949238,0.0,0.0,40000.0,40000.0,80000.0,50800000.0
66,6,0.7,0,horizontal,1200,847590.0129637339,1472409.9870362661,0.0,40000.0,40000.0,0.0,1440000.0,59200000.0
67,6,0.7,1,vertical,1200,1645461.1391495527,1150764.9886805972,3843773.87216985,0.0,0.0,0.0,0.0,533200000.0
68,6,0.7,2,h and v,7200,16975521.40126507,3095218.652706434,6489259.946028496,0.0,120000.0,120000.0,160000.0,459120000.0
69,6,0.7,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
70,6,0.7,4,random p=0.1,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
71,6,0.7,5,random p=0.2,200,0.0,0.0,0.0,120000.0,0.0,120000.0,240000.0,64000000.0
72,6,0.7,6,random p=0.30000000000000004,200,80000.0,0.0,143431.4575050762,256568.5424949238,0.0,0.0,160000.0,33120000.0
73,6,0.7,7,random p=0.4,200,0.0,0.0,40000.0,40000.0,40000.0,80000.0,120000.0,63440000.0
74,6,0.7,8,random p=0.5,200,120000.0,40000.0,0.0,40000.0,40000.0,0.0,0.0,64160000.0
75,6,0.7,9,random p=0.6000000000000001,200,0.0,0.0,40000.0,80000.0,40000.0,80000.0,0.0,106480000.0
76,6,0.7,10,random p=0.7000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
77,6,0.8,0,horizontal,1200,1470587.3086928318,1062797.8125008668,746614.8788063031,0.0,0.0,0.0,120000.0,64680000.0
78,6,0.8,1,vertical,1200,3233693.3346236185,756429.8974107876,1049876.7679655927,0.0,40000.0,40000.0,40000.0,370360000.0
79,6,0.8,2,h and v,7200,18443130.673011612,5229917.931155274,3050598.5352778635,116352.86055525289,0.0,0.0,40000.0,517440000.0
80,6,0.8,3,random p=0.0,200,120000.0,40000.0,0.0,40000.0,40000.0,0.0,0.0,45920000.0
81,6,0.8,4,random p=0.1,200,0.0,40000.0,0.0,200000.0,0.0,120000.0,240000.0,28280000.0
82,6,0.8,5,random p=0.2,200,0.0,40000.0,0.0,200000.0,40000.0,80000.0,40000.0,51680000.0
83,6,0.8,6,random p=0.30000000000000004,200,235175.4096628727,98716.44455048174,146108.1457866456,0.0,0.0,0.0,0.0,64000000.0
84,6,0.8,7,random p=0.4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
85,6,0.8,8,random p=0.5,200,90717.96769724498,229282.03230275508,160000.00000000006,0.0,0.0,0.0,0.0,40720000.0
