,L,Beta,Sheet ID,Sheet Name,N,Eigen Values1,Eigen Values2,Eigen Values3,Eigen Values4,Eigen Values5,Eigen Values6,Eigen Values7,Eigen Values8
41,5,0.4,8,random p=0.5,200,40000.0,0.0,0.0,80000.0,0.0,40000.0,0.0,50640000.0
42,5,0.4,9,random p=0.6000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
43,5,0.4,10,random p=0.7000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
44,5,0.5,0,horizontal,1000,513103.1749749915,812592.3741587865,1154304.4508662215,0.0,120000.0,0.0,0.0,26760000.0
45,5,0.5,1,vertical,1000,1734293.3322098495,957704.0551703359,1068002.6126198138,0.0,120000.0,40000.0,80000.0,79360000.0
46,5,0.5,2,h and v,5000,7887270.124689953,2850199.959328354,3742529.9159816885,0.0,360000.0,280000.0,240000.0,138480000.0
47,5,0.5,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
48,5,0.5,4,random p=0.1,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
49,5,0.5,5,random p=0.2,200,289442.7190999916,110557.28090000841,0.0,40000.0,40000.0,40000.0,240000.0,4760000.0
50,5,0.5,6,random p=0.30000000000000004,200,0.0,40000.0,40000.0,40000.0,0.0,40000.0,80000.0,40160000.0
51,5,0.5,7,random p=0.4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
52,5,0.5,8,random p=0.5,200,144721.3595499958,55278.64045000421,0.0,40000.0,40000.0,0.0,40000.0,17840000.0
53,5,0.5,9,random p=0.6000000000000001,200,15278.640450004204,104721.35954999579,0.0,0.0,40000.0,40000.0,40000.0,39680000.0
54,5,0.5,10,random p=0.7000000000000001,200,0.0,80000.0,0.0,40000.0,0.0,40000.0,80000.0,47600000.0
55,5,0.6,0,horizontal,1000,1325089.1585176378,785268.5275955626,849642.3138867987,0.0,80000.0,0.0,80000.0,23760000.0
56,5,0.6,1,vertical,1000,2526841.763776997,904467.6322459095,568690.6039770938,0.0,0.0,40000.0,40000.0,184000000.0
57,5,0.6,2,h and v,5000,10057714.840493025,2709979.0002537053,3792306.1592532657,0.0,200000.0,200000.0,280000.0,160600000.0
58,5,0.6,3,random p=0.0,200,0.0,0.0,0.0,200000.0,40000.0,200000.0,80000.0,8280000.0
59,5,0.6,4,random p=0.1,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
60,5,0.6,5,random p=0.2,200,0.0,80000.0,0.0,40000.0,0.0,80000.0,200000.0,22480000.0
61,5,0.6,6,random p=0.30000000000000004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
62,5,0.6,7,random p=0.4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
63,5,0.6,8,random p=0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
64,5,0.6,9,random p=0.6000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
65,5,0.6,10,random p=0.7000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
66,5,0.7,0,horizontal,1000,574169.947557416,879999.9999999999,785830.0524425836,0.0,0.0,0.0,0.0,28000000.0
67,5,0.7,1,vertical,1000,1497279.4276360152,603788.0131466888,938932.559217296,0.0,40000.0,40000.0,80000.0,137200000.0
68,5,0.7,2,h and v,5000,14544637.073821701,3595574.818289943,1636677.0045481042,25608.009799754207,77503.0935405053,0.0,0.0,262280000.0
69,5,0.7,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
70,5,0.7,4,random p=0.1,200,55278.640450004204,144721.3595499958,0.0,40000.0,40000.0,40000.0,0.0,33040000.0
71,5,0.7,5,random p=0.2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
72,5,0.7,6,random p=0.30000000000000004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
73,5,0.7,7,random p=0.4,200,15278.640450004204,104721.35954999579,0.0,0.0,40000.0,40000.0,40000.0,39680000.0
74,5,0.7,8,random p=0.5,200,0.0,40000.0,0.0,40000.0,40000.0,160000.0,200000.0,34480000.0
75,5,0.7,9,random p=0.6000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
76,5,0.7,10,random p=0.7000000000000001,200,107888.9744907202,252111.02550927977,0.0,0.0,0.0,40000.0,200000.0,5800000.0
77,5,0.8,0,horizontal,1000,692613.6624629403,1187386.3375370596,0.0,0.0,40000.0,0.0,760000.0,26520000.0
78,5,0.8,1,vertical,1000,3957360.8201055108,1177804.9345489647,464834.24534552323,0.0,0.0,40000.0,0.0,288600000.0
79,5,0.8,2,h and v,5000,15782362.548511676,3969129.6039933995,1372464.9549371088,76042.89255781009,0.0,0.0,80000.0,315040000.0
80,5,0.8,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
81,5,0.8,4,random p=0.1,200,280000.0,120000.0,0.0,0.0,0.0,0.0,80000.0,18400000.0
82,5,0.8,5,random p=0.2,200,15278.640450004204,104721.35954999579,0.0,40000.0,40000.0,0.0,40000.0,27760000.0
83,5,0.8,6,random p=0.30000000000000004,200,103431.45750507622,216568.5424949238,160000.0,0.0,0.0,0.0,0.0,14560000.0
