,L,Beta,Sheet ID,Sheet Name,N,PhiMatrix0,PhiMatrix1,PhiMatrix2,PhiMatrix3,PhiMatrix4,PhiMatrix5,PhiMatrix6,PhiMatrix7,PhiMatrix8,PhiMatrix9,PhiMatrix10,PhiMatrix11,PhiMatrix12,PhiMatrix13,PhiMatrix14,PhiMatrix15,PhiMatrix16,PhiMatrix17,PhiMatrix18,PhiMatrix19,PhiMatrix20,PhiMatrix21,PhiMatrix22,PhiMatrix23,PhiMatrix24,PhiMatrix25,PhiMatrix26,PhiMatrix27,PhiMatrix28,PhiMatrix29,PhiMatrix30,PhiMatrix31,PhiMatrix32,PhiMatrix33,PhiMatrix34,PhiMatrix35,PhiMatrix36,PhiMatrix37,PhiMatrix38,PhiMatrix39,PhiMatrix40,PhiMatrix41,PhiMatrix42,PhiMatrix43,PhiMatrix44,PhiMatrix45,PhiMatrix46,PhiMatrix47,PhiMatrix48,PhiMatrix49,PhiMatrix50,PhiMatrix51,PhiMatrix52,PhiMatrix53,PhiMatrix54,PhiMatrix55,PhiMatrix56,PhiMatrix57,PhiMatrix58,PhiMatrix59,PhiMatrix60,PhiMatrix61,PhiMatrix62,PhiMatrix63
16,6,0.2,5,random p=0.2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,320000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28800000.0
17,6,0.2,6,random p=0.30000000000000004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,40000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19240000.0
18,6,0.2,7,random p=0.4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5960000.0
19,6,0.2,8,random p=0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0
20,6,0.2,9,random p=0.6000000000000001,200,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040000.0
21,6,0.2,10,random p=0.7000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000.0,0.0,40000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,320000.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6280000.0
22,6,0.3,0,horizontal,1200,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560000.0,0.0,200000.0,40000.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,1280000.0,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,40000.0,1840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47680000.0
23,6,0.3,1,vertical,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360000.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,120000.0,0.0,0.0,0.0,0.0,160000.0,0.0,120000.0,2120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119920000.0
24,6,0.3,2,h and v,7200,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,1480000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,10960000.0,0.0,2520000.0,560000.0,0.0,0.0,0.0,40000.0,0.0,1720000.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,12280000.0,760000.0,0.0,0.0,0.0,0.0,560000.0,0.0,760000.0,8760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281360000.0
25,6,0.3,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
